date,AZM_minutes,rmssd,nremhr,entropy,sleep_score,deep_sleep_min,resting_heart_rate,stress_score,o2_avg,o2_lower_bound,o2_upper_bound,calories
2023-09-24,37.0,50.534688311688306,0.9624805194805195,613.2805064935066,72.0,91.0,67.0,76.0,82.21986607142857,85.75,96.8,2217.0
2023-09-25,10.0,44.08738666666667,0.9802666666666666,491.2373733333333,74.0,62.0,67.0,77.0,85.63029556650247,70.9,97.3,2196.01
2023-09-26,73.0,54.227070000000005,0.9804200000000001,704.47727,86.0,91.0,66.0,74.0,87.4509090909091,93.25,99.2,1781.0
2023-09-27,8.0,61.94950505050505,0.9652020202020202,817.0604141414142,84.0,45.0,66.0,80.0,86.54766031195841,94.4,98.6,1782.1100000000001
2023-09-28,19.0,44.76403846153846,0.9519807692307692,608.1031730769231,86.0,104.0,65.0,77.0,87.47524366471735,94.95,99.2,1925.57
2023-09-29,106.0,59.09176315789474,0.9523815789473684,910.1193552631579,79.0,60.0,66.0,72.0,78.56790322580645,89.05000000000001,97.0,2295.56
2023-09-30,42.0,61.024139784946236,0.9488817204301074,760.5532043010753,73.0,81.0,64.0,73.0,82.72047244094489,97.35,99.6,2096.87
2023-10-01,59.0,82.11786363636364,0.9461272727272727,1129.7829909090908,80.0,89.0,62.0,81.0,82.65301645338208,73.35,98.6,1992.22
2023-10-02,37.0,53.049142857142854,0.974,777.9279047619048,78.0,73.0,60.0,79.0,82.2066276803119,85.05,97.5,1898.34
2023-10-03,112.0,66.3828817204301,0.971279569892473,846.4299569892473,80.0,75.0,60.0,83.0,86.27247524752475,91.35,99.1,2207.16
2023-10-04,50.0,60.33592631578948,0.9725999999999999,824.359852631579,79.0,88.0,59.0,85.0,85.60041237113401,84.7,98.0,1946.82
2023-10-06,23.0,51.88129411764706,0.9736235294117647,675.0766941176471,80.0,87.0,60.0,82.0,85.53375262054507,89.9,97.9,1813.3
2023-10-07,8.0,55.70797115384615,0.9745,749.5632596153846,82.0,91.0,61.0,81.0,82.06678383128295,72.6,97.2,1995.8700000000001
2023-10-08,7.0,66.57885714285715,0.979447619047619,918.2272380952381,86.0,106.0,61.0,88.0,83.25929824561403,72.4,96.5,1703.45
2023-10-09,107.0,73.67767816091954,0.959287356321839,963.6821264367816,78.0,75.0,61.0,80.0,82.26984815618222,96.05,95.1,2198.2200000000003
2023-10-10,78.0,68.77104494382021,0.9613707865168539,960.5735393258427,83.0,93.0,60.0,85.0,83.39982078853046,70.45,99.4,2149.6
2023-10-11,99.0,79.41329411764706,0.9726823529411764,949.8542,78.0,66.0,60.0,82.0,84.76811279826464,93.05,96.8,2213.54
2023-10-12,51.0,70.59303296703297,0.9779230769230769,868.6577472527472,85.0,87.0,56.0,92.0,83.89001883239172,90.9,97.9,1941.68
